LOAD_DATE,YEAR,DATASET,SUBJECT,VARIABLE_BASE,GEO_ID,VALUE_E,VALUE_PE,STATE,COUNTY,TRACT,LABEL_CATEGORY,LABEL_VALUE,LABEL_CONCEPT
2021-08-24 07:20:26.769,2011,ACS5,DP05,DP05_0061,1400000US10001041400,0,0,Delaware,Kent County,Census Tract 414,RACE,American Indian and Alaska Native,RACE
2021-08-24 07:20:26.769,2011,ACS5,DP05,DP05_0061,1400000US10001041300,6,0,Delaware,Kent County,Census Tract 413,RACE,American Indian and Alaska Native,RACE
2021-08-24 07:20:26.769,2011,ACS5,DP05,DP05_0061,1400000US10001040201,27,1,Delaware,Kent County,Census Tract 402.01,RACE,American Indian and Alaska Native,RACE
2021-08-24 07:20:26.769,2011,ACS5,DP05,DP05_0061,1400000US10001042800,332,5,Delaware,Kent County,Census Tract 428,RACE,American Indian and Alaska Native,RACE
2021-08-24 07:20:26.769,2011,ACS5,DP05,DP05_0061,1400000US10001040900,4,0,Delaware,Kent County,Census Tract 409,RACE,American Indian and Alaska Native,RACE
2021-08-24 07:20:26.769,2011,ACS5,DP05,DP05_0061,1400000US10001043202,2,0,Delaware,Kent County,Census Tract 432.02,RACE,American Indian and Alaska Native,RACE
2021-08-24 07:20:26.769,2011,ACS5,DP05,DP05_0061,1400000US10001042500,18,1,Delaware,Kent County,Census Tract 425,RACE,American Indian and Alaska Native,RACE
2021-08-24 07:20:26.769,2011,ACS5,DP05,DP05_0061,1400000US10001040502,0,0,Delaware,Kent County,Census Tract 405.02,RACE,American Indian and Alaska Native,RACE
2021-08-24 07:20:26.769,2011,ACS5,DP05,DP05_0061,1400000US10001042100,42,1,Delaware,Kent County,Census Tract 421,RACE,American Indian and Alaska Native,RACE
2021-08-24 07:20:26.769,2011,ACS5,DP05,DP05_0061,1400000US10001043300,52,1,Delaware,Kent County,Census Tract 433,RACE,American Indian and Alaska Native,RACE
2021-08-24 07:20:26.769,2011,ACS5,DP05,DP05_0061,1400000US10001041100,220,7,Delaware,Kent County,Census Tract 411,RACE,American Indian and Alaska Native,RACE
2021-08-24 07:20:26.769,2011,ACS5,DP05,DP05_0061,1400000US10001040202,268,2,Delaware,Kent County,Census Tract 402.02,RACE,American Indian and Alaska Native,RACE
2021-08-24 07:20:26.769,2011,ACS5,DP05,DP05_0061,1400000US10001043400,19,1,Delaware,Kent County,Census Tract 434,RACE,American Indian and Alaska Native,RACE
2021-08-24 07:20:26.769,2011,ACS5,DP05,DP05_0061,1400000US10001042202,12,0,Delaware,Kent County,Census Tract 422.02,RACE,American Indian and Alaska Native,RACE
2021-08-24 07:20:26.769,2011,ACS5,DP05,DP05_0061,1400000US10001041801,308,3,Delaware,Kent County,Census Tract 418.01,RACE,American Indian and Alaska Native,RACE
2021-08-24 07:20:26.769,2011,ACS5,DP05,DP05_0061,1400000US10001041200,31,1,Delaware,Kent County,Census Tract 412,RACE,American Indian and Alaska Native,RACE
2021-08-24 07:20:26.769,2011,ACS5,DP05,DP05_0061,1400000US10001042201,113,1,Delaware,Kent County,Census Tract 422.01,RACE,American Indian and Alaska Native,RACE
2021-08-24 07:20:26.769,2011,ACS5,DP05,DP05_0061,1400000US10001041600,34,2,Delaware,Kent County,Census Tract 416,RACE,American Indian and Alaska Native,RACE
2021-08-24 07:20:26.769,2011,ACS5,DP05,DP05_0061,1400000US10001041802,6,0,Delaware,Kent County,Census Tract 418.02,RACE,American Indian and Alaska Native,RACE
2021-08-24 07:20:26.769,2011,ACS5,DP05,DP05_0061,1400000US10001041702,66,1,Delaware,Kent County,Census Tract 417.02,RACE,American Indian and Alaska Native,RACE
2021-08-24 07:20:26.769,2011,ACS5,DP05,DP05_0061,1400000US10001040203,63,1,Delaware,Kent County,Census Tract 402.03,RACE,American Indian and Alaska Native,RACE
2021-08-24 07:20:26.769,2011,ACS5,DP05,DP05_0061,1400000US10001040501,69,1,Delaware,Kent County,Census Tract 405.01,RACE,American Indian and Alaska Native,RACE
2021-08-24 07:20:26.769,2011,ACS5,DP05,DP05_0061,1400000US10001041000,60,1,Delaware,Kent County,Census Tract 410,RACE,American Indian and Alaska Native,RACE
2021-08-24 07:20:26.769,2011,ACS5,DP05,DP05_0061,1400000US10001043000,0,0,Delaware,Kent County,Census Tract 430,RACE,American Indian and Alaska Native,RACE
2021-08-24 07:20:26.769,2011,ACS5,DP05,DP05_0061,1400000US10001040700,167,3,Delaware,Kent County,Census Tract 407,RACE,American Indian and Alaska Native,RACE
2021-08-24 07:20:26.769,2011,ACS5,DP05,DP05_0061,1400000US10001990000,0,0,Delaware,Kent County,Census Tract 9900,RACE,American Indian and Alaska Native,RACE
2021-08-24 07:20:26.769,2011,ACS5,DP05,DP05_0061,1400000US10001041900,35,1,Delaware,Kent County,Census Tract 419,RACE,American Indian and Alaska Native,RACE
2021-08-24 07:20:26.769,2011,ACS5,DP05,DP05_0061,1400000US10001041500,59,2,Delaware,Kent County,Census Tract 415,RACE,American Indian and Alaska Native,RACE
