LOAD_DATE,YEAR,DATASET,SUBJECT,VARIABLE_BASE,GEO_ID,VALUE_E,VALUE_PE,STATE,COUNTY,LABEL_CATEGORY,LABEL_VALUE,LABEL_CONCEPT
2021-08-24 05:39:15.350,2011,ACS1,DP05,DP05_0061,0500000US06001,21230,,California,Alameda County,RACE,American Indian and Alaska Native,RACE
2021-08-24 05:39:18.440,2011,ACS1,DP05,DP05_0062,0500000US06001,448250,,California,Alameda County,RACE,Asian,RACE
2021-08-24 05:39:13.623,2011,ACS1,DP05,DP05_0060,0500000US06001,210706,,California,Alameda County,RACE,Black or African American,RACE
2021-08-24 05:39:20.969,2011,ACS1,DP05,DP05_0063,0500000US06001,22617,,California,Alameda County,RACE,Native Hawaiian and Other Pacific Islander,RACE
2021-08-24 05:39:22.858,2011,ACS1,DP05,DP05_0064,0500000US06001,140893,,California,Alameda County,RACE,Some other race,RACE
2021-08-24 05:39:10.656,2011,ACS1,DP05,DP05_0059,0500000US06001,778051,,California,Alameda County,RACE,White,RACE
2021-08-24 05:39:15.350,2011,ACS1,DP05,DP05_0061,0500000US06007,11059,,California,Butte County,RACE,American Indian and Alaska Native,RACE
2021-08-24 05:39:18.440,2011,ACS1,DP05,DP05_0062,0500000US06007,12469,,California,Butte County,RACE,Asian,RACE
2021-08-24 05:39:13.623,2011,ACS1,DP05,DP05_0060,0500000US06007,6037,,California,Butte County,RACE,Black or African American,RACE
2021-08-24 05:39:20.969,2011,ACS1,DP05,DP05_0063,0500000US06007,1107,,California,Butte County,RACE,Native Hawaiian and Other Pacific Islander,RACE
2021-08-24 05:39:22.858,2011,ACS1,DP05,DP05_0064,0500000US06007,8513,,California,Butte County,RACE,Some other race,RACE
2021-08-24 05:39:10.656,2011,ACS1,DP05,DP05_0059,0500000US06007,196992,,California,Butte County,RACE,White,RACE
2021-08-24 05:39:15.350,2011,ACS1,DP05,DP05_0061,0500000US06013,16137,,California,Contra Costa County,RACE,American Indian and Alaska Native,RACE
2021-08-24 05:39:18.440,2011,ACS1,DP05,DP05_0062,0500000US06013,184544,,California,Contra Costa County,RACE,Asian,RACE
2021-08-24 05:39:13.623,2011,ACS1,DP05,DP05_0060,0500000US06013,110389,,California,Contra Costa County,RACE,Black or African American,RACE
2021-08-24 05:39:20.969,2011,ACS1,DP05,DP05_0063,0500000US06013,12403,,California,Contra Costa County,RACE,Native Hawaiian and Other Pacific Islander,RACE
2021-08-24 05:39:22.858,2011,ACS1,DP05,DP05_0064,0500000US06013,77192,,California,Contra Costa County,RACE,Some other race,RACE
2021-08-24 05:39:10.656,2011,ACS1,DP05,DP05_0059,0500000US06013,728300,,California,Contra Costa County,RACE,White,RACE
2021-08-24 05:39:15.350,2011,ACS1,DP05,DP05_0061,0500000US06017,5486,,California,El Dorado County,RACE,American Indian and Alaska Native,RACE
2021-08-24 05:39:18.440,2011,ACS1,DP05,DP05_0062,0500000US06017,9407,,California,El Dorado County,RACE,Asian,RACE
2021-08-24 05:39:13.623,2011,ACS1,DP05,DP05_0060,0500000US06017,2311,,California,El Dorado County,RACE,Black or African American,RACE
2021-08-24 05:39:20.969,2011,ACS1,DP05,DP05_0063,0500000US06017,0,,California,El Dorado County,RACE,Native Hawaiian and Other Pacific Islander,RACE
2021-08-24 05:39:22.858,2011,ACS1,DP05,DP05_0064,0500000US06017,7051,,California,El Dorado County,RACE,Some other race,RACE
2021-08-24 05:39:10.656,2011,ACS1,DP05,DP05_0059,0500000US06017,162726,,California,El Dorado County,RACE,White,RACE
2021-08-24 05:39:15.350,2011,ACS1,DP05,DP05_0061,0500000US06019,20505,,California,Fresno County,RACE,American Indian and Alaska Native,RACE
2021-08-24 05:39:18.440,2011,ACS1,DP05,DP05_0062,0500000US06019,102951,,California,Fresno County,RACE,Asian,RACE
2021-08-24 05:39:13.623,2011,ACS1,DP05,DP05_0060,0500000US06019,56774,,California,Fresno County,RACE,Black or African American,RACE
2021-08-24 05:39:20.969,2011,ACS1,DP05,DP05_0063,0500000US06019,4772,,California,Fresno County,RACE,Native Hawaiian and Other Pacific Islander,RACE
2021-08-24 05:39:22.858,2011,ACS1,DP05,DP05_0064,0500000US06019,248851,,California,Fresno County,RACE,Some other race,RACE
2021-08-24 05:39:10.656,2011,ACS1,DP05,DP05_0059,0500000US06019,548895,,California,Fresno County,RACE,White,RACE
2021-08-24 05:39:15.350,2011,ACS1,DP05,DP05_0061,0500000US06023,10160,,California,Humboldt County,RACE,American Indian and Alaska Native,RACE
2021-08-24 05:39:18.440,2011,ACS1,DP05,DP05_0062,0500000US06023,5210,,California,Humboldt County,RACE,Asian,RACE
2021-08-24 05:39:13.623,2011,ACS1,DP05,DP05_0060,0500000US06023,2628,,California,Humboldt County,RACE,Black or African American,RACE
2021-08-24 05:39:20.969,2011,ACS1,DP05,DP05_0063,0500000US06023,868,,California,Humboldt County,RACE,Native Hawaiian and Other Pacific Islander,RACE
2021-08-24 05:39:22.858,2011,ACS1,DP05,DP05_0064,0500000US06023,4316,,California,Humboldt County,RACE,Some other race,RACE
2021-08-24 05:39:10.656,2011,ACS1,DP05,DP05_0059,0500000US06023,119586,,California,Humboldt County,RACE,White,RACE
2021-08-24 05:39:15.350,2011,ACS1,DP05,DP05_0061,0500000US06025,6894,,California,Imperial County,RACE,American Indian and Alaska Native,RACE
2021-08-24 05:39:18.440,2011,ACS1,DP05,DP05_0062,0500000US06025,3581,,California,Imperial County,RACE,Asian,RACE
2021-08-24 05:39:13.623,2011,ACS1,DP05,DP05_0060,0500000US06025,6985,,California,Imperial County,RACE,Black or African American,RACE
2021-08-24 05:39:20.969,2011,ACS1,DP05,DP05_0063,0500000US06025,0,,California,Imperial County,RACE,Native Hawaiian and Other Pacific Islander,RACE
2021-08-24 05:39:22.858,2011,ACS1,DP05,DP05_0064,0500000US06025,42790,,California,Imperial County,RACE,Some other race,RACE
2021-08-24 05:39:10.656,2011,ACS1,DP05,DP05_0059,0500000US06025,124184,,California,Imperial County,RACE,White,RACE
2021-08-24 05:39:15.350,2011,ACS1,DP05,DP05_0061,0500000US06029,21523,,California,Kern County,RACE,American Indian and Alaska Native,RACE
2021-08-24 05:39:18.440,2011,ACS1,DP05,DP05_0062,0500000US06029,43472,,California,Kern County,RACE,Asian,RACE
2021-08-24 05:39:13.623,2011,ACS1,DP05,DP05_0060,0500000US06029,56440,,California,Kern County,RACE,Black or African American,RACE
2021-08-24 05:39:20.969,2011,ACS1,DP05,DP05_0063,0500000US06029,3538,,California,Kern County,RACE,Native Hawaiian and Other Pacific Islander,RACE
2021-08-24 05:39:22.858,2011,ACS1,DP05,DP05_0064,0500000US06029,89589,,California,Kern County,RACE,Some other race,RACE
2021-08-24 05:39:10.656,2011,ACS1,DP05,DP05_0059,0500000US06029,668725,,California,Kern County,RACE,White,RACE
2021-08-24 05:39:15.350,2011,ACS1,DP05,DP05_0061,0500000US06031,4584,,California,Kings County,RACE,American Indian and Alaska Native,RACE
2021-08-24 05:39:18.440,2011,ACS1,DP05,DP05_0062,0500000US06031,7496,,California,Kings County,RACE,Asian,RACE
2021-08-24 05:39:13.623,2011,ACS1,DP05,DP05_0060,0500000US06031,11547,,California,Kings County,RACE,Black or African American,RACE
